Year,Non-pup count,Pup count,J/T metric,no. of measurements (no. of haul-outs)
1976,24678,no data,no data,n.a.
1977,no data,no data,no data,n.a.
1978,27155,17835,no data,n.a.
1979,28460,19886,no data,n.a.
1980,no data,no data,no data,n.a.
1981,no data,no data,no data,n.a.
1982,no data,no data,no data,n.a.
1983,no data,no data,no data,n.a.
1984,no data,15019,no data,n.a.
1985,19002,13309,0.3788,7182 (13)
1986,no data,11598,no data,n.a.
1987,no data,no data,no data,n.a.
1988,no data,no data,no data,n.a.
1989,8552,6394,0.4843,3039 (11)
1990,7050,4648,0.5025,2752 (16)
1991,6273,4057,0.4801,2468 (16)
1992,5721,3646,0.5255,2409 (19)
1993,no data,3176,no data,n.a.
1994,4520,2831,0.3706,2536 (19)
1995,no data,no data,no data,n.a.
1996,3915,no data,0.3698,1971 (17)
1997,3352,2056,0.4007,1924 (15)
1998,3467,1876,0.4095,2090 (16)
1999,no data,no data,no data,n.a.
2000,3180,1675,0.4769,2489 (17)
2001,no data,1540,no data,n.a.
2002,3366,1608,0.4483,2237 (18)
2003,no data,no data,no data,n.a.
2004,3055,1578,no data,n.a.
