Year,Non-pup count,Pup count,J/T metric,no. of measurements (no. of haul-outs)
1975,19769,no data,no data,n.a.
1976,19743,no data,no data,n.a.
1977,19195,no data,no data,n.a.
1978,no data,no data,no data,n.a.
1979,no data,no data,no data,n.a.
1980,no data,no data,no data,n.a.
1981,no data,no data,no data,n.a.
1982,no data,no data,no data,n.a.
1983,no data,no data,no data,n.a.
1984,no data,no data,no data,n.a.
1985,7505,4778,0.4758,2717 (12)
1986,no data,no data,no data,n.a.
1987,no data,no data,no data,n.a.
1988,no data,no data,no data,n.a.
1989,3032,no data,0.3674,215 (4)
1990,3801,2075,0.5169,563 (3)
1991,4231,2119,0.4687,879 (11)
1992,4839,1879,0.4789,1564 (14)
1993,no data,1756,no data,n.a.
1994,4421,no data,no data,n.a.
1995,no data,no data,no data,n.a.
1996,4716,no data,0.4232,1635 (16)
1997,no data,no data,0.4709,2064 (15)
1998,3847,1474,0.4769,2661 (14)
1999,no data,no data,no data,n.a.
2000,3840,1516,0.4995,1996 (14)
2001,no data,no data,no data,n.a.
2002,3956,1525,0.4400,2234 (19)
2003,no data,no data,no data,n.a.
2004,4707,1744,no data,n.a.
