Year,Non-pup count,Pup count,J/T metric,no. of measurements (no. of haul-outs)
1976,8311,no data,no data,n.a.
1977,no data,no data,no data,n.a.
1978,15229,no data,no data,n.a.
1979,12128,9351,no data,n.a.
1980,no data,no data,no data,n.a.
1981,no data,no data,no data,n.a.
1982,no data,no data,no data,n.a.
1983,no data,no data,no data,n.a.
1984,no data,5700,no data,n.a.
1985,6275,4985,0.3997,3225 (7)
1986,no data,no data,no data,n.a.
1987,no data,no data,no data,n.a.
1988,no data,no data,no data,n.a.
1989,3908,2771,0.4356,808 (6)
1990,3915,2271,0.4673,1130 (6)
1991,3734,2036,0.4608,1569 (10)
1992,3720,1879,0.5015,1960 (13)
1993,no data,1857,no data,n.a.
1994,3982,1662,no data,n.a.
1995,no data,no data,no data,n.a.
1996,3741,1605,0.4247,3567 (17)
1997,3633,no data,0.4337,3525 (15)
1998,3361,1493,0.3927,2865 (16)
1999,no data,no data,no data,n.a.
2000,2840,1451,0.4443,1908 (17)
2001,no data,1466,no data,n.a.
2002,3221,1487,0.4273,1898 (18)
2003,no data,1432,no data,n.a.
2004,3456,1593,no data,n.a.
